DOMAIN	TOTAL	Acas	Afum	Agos	Aloc	Amac	Amoe	Bden	Ccin	Cint	Cmer	CneoA	Cowc	Crei	Crev	Ddis	Dmel	Ebie	Ecun	Eint	Gpro	Hmag	Hpol	Mbre	Mcir	Mver	Ncer	Ncra	NparERTm1	Pbla	PirE2	Pult	Rall	Rory	Scer	Spom	Spun	Sros	Sros50818	Sscl	Tgon	Tpse	Ttra	Umay	Vcul	Wseb	Ylip
NUDIX-like	19	2	1	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0
Glyco_hydro_6	19	0	1	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
BRCA2	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	1	0	0	0
Apc1	19	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1
DUF2405	19	0	1	1	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	2	2	1	0	0	0	1	0	0	0	1	0	0	1
CDT1	19	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0
DUF1998	19	0	1	1	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	1
DUF4078	19	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1
tRNA_lig_CPD	19	0	1	1	0	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1
SLA_LP_auto_ag	19	3	0	0	0	0	0	0	0	1	2	0	0	4	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Man-6-P_recep	19	1	1	0	0	0	0	0	1	2	0	0	0	0	0	4	0	0	0	0	0	1	0	2	0	2	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
DUF2413	19	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	2	1	1	1	0	0	2	0	0	0	1	0	1	1
Med20	19	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
BESS	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-SET	19	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	1	0	0	1
Formyl_trans_C	19	0	0	0	0	1	0	0	1	1	1	1	0	2	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0
DAP_epimerase	19	1	0	0	0	0	0	0	0	0	2	0	2	2	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OHCU_decarbox	19	1	1	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1
SEA	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F1F0-ATPsyn_F	19	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	2	0	0	0	2	1	1	0	0	0	1	0	0	0	1	0	1	1
MMtag	19	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0
KxDL	19	2	1	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1
DUF1762	19	0	1	1	0	0	1	0	1	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0
Spc24	19	0	1	1	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	1	1
Hamartin	19	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	1	2
NPP1	19	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Tuberin	19	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	1	1
LRRNT	19	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMD	19	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	3	0	0	0
DUF607	19	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
H2TH	19	1	1	0	0	0	0	0	1	0	1	1	1	2	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	1
Dzip-like_N	19	0	0	0	0	1	2	1	0	2	0	0	0	4	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
PP28	19	1	1	0	0	0	0	1	1	1	0	1	0	0	0	2	2	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
MRJP	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0
DUF1764	19	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0
Taxilin	19	0	1	0	0	0	0	1	2	1	0	0	0	1	0	1	1	0	0	0	1	1	1	1	0	2	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Sec39	19	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1
Acid_PPase	19	1	1	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	2	0	1	0	1	1
HTH_31	19	0	0	1	0	0	2	1	2	0	1	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1
Tom7	19	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	2	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1
Cdc6_C	19	1	1	1	0	0	2	2	0	2	0	0	0	0	1	0	2	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
DUF2475	19	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	3	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0
DUF4042	19	0	0	0	0	0	0	1	0	1	0	0	1	2	0	2	1	0	0	0	0	2	0	1	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0
Med18	19	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1
MHYT	19	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	5	0	3	0	0	2	0	0	0	0	0	2	1	0	0	0
QCR10	19	0	1	1	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	2	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1
MIB_HERC2	19	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	6	0	0	0	0	3	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cna_B_2	19	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	4	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PMT_2	19	1	0	1	0	2	0	0	1	0	2	0	0	0	0	0	3	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0
Ins145_P3_rec	19	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	2	0	0	0	0	1	2	4	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0
ESSS	19	0	1	0	0	0	2	0	1	1	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0
DUF924	19	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	2	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	1	1	0	0	0
DUF3471	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRP-S33	19	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	2	1	1	0	0	0	1	0	0	0	1	0	0	1
Peptidase_M50B	19	0	1	0	0	0	0	1	2	0	0	3	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0
PTPS	19	1	0	0	0	0	1	1	0	1	3	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0
MKT1_C	19	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	1	1	0	0	0	2	1	0	0	1	0	1	1
Eapp_C	19	2	0	0	0	0	0	1	0	1	0	0	0	2	0	2	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0
CHZ	19	0	1	1	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	1	0
Glyco_hydro_25	19	3	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hyd_WA	19	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF2611	19	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	2	2	1	0	0	0	1	0	0	0	1	0	1	1
FPL	19	1	0	0	0	0	0	2	0	2	1	0	0	1	0	1	1	0	0	0	0	2	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
IIGP	19	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	1	0
Pep_deformylase	19	3	0	0	0	0	0	1	0	0	1	0	0	3	0	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0
YqeY	19	0	1	1	0	1	2	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0
Metallopep	19	2	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	3	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1
PKD	19	6	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cohesin_load	19	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	2	1	0	1	0	0	0	0	0	1	2
Furin-like	19	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	6	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
DPM2	18	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1
Clr5	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0
BAAT_C	18	0	2	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0
Sen15	18	1	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1
MmgE_PrpD	18	0	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	4	2	0	0	1	0	0	1
fn2	18	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tektin	18	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF3456	18	0	0	0	0	0	0	0	0	5	0	0	1	1	0	0	4	0	0	0	0	5	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF2349	18	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	1	0
Mrr_cat	18	0	1	0	0	0	0	1	1	0	1	1	0	0	0	2	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0
Laminin_N	18	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lgl_C	18	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	1	2	1	0	0	0	1	0	0	0	2	0	0	1
Peptidase_C15	18	1	1	0	0	0	0	2	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1
SAND	18	0	0	0	0	0	0	0	0	3	0	0	0	13	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YABBY	18	1	0	0	0	1	0	1	1	0	0	2	0	1	2	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
DUF218	18	2	2	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1
HSBP1	18	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0
DUF3431	18	0	6	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	2	0
DNA_pol_delta_4	18	0	1	0	0	0	2	0	1	0	1	1	1	1	0	0	0	0	0	0	2	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1
DPM3	18	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1
ISN1	18	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	2	1	1	0	0	0	0	1
Sfi1	18	0	1	1	0	0	0	1	2	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	2	1
zf-4CXXC_R1	18	0	0	0	0	0	0	0	1	2	0	0	0	3	0	3	0	0	0	0	4	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Myb_DNA-bind_2	18	1	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	2	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	1	0
DUF3752	18	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0
TYW3	18	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	2	2	0	0	0	0	1
Aph-1	18	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0
Vac7	18	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	2
PIG-F	18	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1
DUF288	18	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fra10Ac1	18	1	0	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0
GSIII_N	18	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	3	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0
HeH	18	1	1	1	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	1	0	0	1
DUF3722	18	2	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1
MR_MLE_N	18	1	3	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	1	0
Glyco_hydro_65m	18	4	1	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1
zf-Mss51	18	0	1	1	0	0	2	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1
LacY_symp	18	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	1	2	1	1	0	0	2	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
MMR_HSR1_C	18	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1
Dfp1_Him1_M	18	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	2	0	0	0	1	0	0	0	1	0	1	1
ELYS	18	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1
7TM_GPCR_Srv	18	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XFP_N	18	0	2	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	2	0	0	0	1	0	1	0
DUF179	18	1	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0
Raffinose_syn	18	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	1	0	0	2	0	0	0	1	0	2	1	1	0	1	0	0	0
Glyco_transf_54	18	2	0	0	0	0	0	0	0	4	0	0	3	0	0	0	2	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF4211	18	1	1	0	0	0	2	0	1	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0
SEC-C	18	1	0	0	0	0	2	0	0	0	1	0	0	3	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0
MKT1_N	18	1	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1
Med1	18	2	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1
RNA_Me_trans	18	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	1	1
LBP_BPI_CETP_C	18	8	0	0	0	0	0	0	0	4	0	0	1	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF2046	18	0	0	0	0	0	2	1	1	0	1	0	0	1	0	1	1	0	0	0	0	2	1	1	0	1	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF1903	18	1	0	2	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	2	0	0	1
Ribosomal_L35p	18	0	0	1	0	0	0	0	1	1	2	1	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1
FIBP	18	0	0	0	0	0	2	1	0	2	0	0	0	0	0	2	1	0	0	0	3	1	1	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SnoaL_3	18	3	0	0	0	0	0	0	0	1	0	1	0	8	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
COLFI	18	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF1365	18	0	0	0	0	0	2	1	1	0	2	1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0
Scm3	18	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	1	1
Cript	18	0	1	0	0	0	0	0	1	1	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	2	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0
Prefoldin_3	18	2	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	2	0	0	3	0	1	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0
DNMT1-RFD	18	3	0	0	0	0	0	0	2	1	1	0	0	3	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Kinetochor_Ybp2	18	0	1	1	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	2	2	0	0	0	1	0	0	0	1	0	0	1
DUF4206	18	2	0	0	0	0	0	0	0	3	0	0	1	0	0	2	4	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TFIIE_beta	18	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	1
